blendshape,mean,std,median,q25,q75
_neutral,2.1084618531403976e-06,1.972839984622999e-06,1.4805881392021547e-06,8.774289739221786e-07,2.7093548169432324e-06
browDownLeft,0.09138251513527211,0.13695749348541775,0.02957929763942957,0.005352581501938403,0.10874967463314533
browDownRight,0.08525324383482803,0.12962638390567652,0.03021704126149416,0.005794887198135257,0.10334381647408009
browInnerUp,0.15530153077562864,0.20648768263224285,0.06439805030822754,0.008822357514873147,0.21056067198514938
browOuterUpLeft,0.15871358073473676,0.18995376614703097,0.07853903248906136,0.021748310420662165,0.23883602768182755
browOuterUpRight,0.11041161002556328,0.14979968479250097,0.05281413160264492,0.018378098960965872,0.14485080912709236
cheekPuff,0.00022673982114474711,0.00041231301576531183,2.735996440605959e-05,1.0144997531824629e-05,0.0002596344056655653
cheekSquintLeft,1.0567715282583379e-06,1.295512418982683e-06,6.149052467208094e-07,2.998204280402206e-07,1.2712325769825839e-06
cheekSquintRight,6.734529502310238e-07,9.759170042748907e-07,3.458155788393924e-07,1.9000652429213005e-07,7.591003168272437e-07
eyeBlinkLeft,0.10927773878863081,0.0841260353803897,0.09070869535207748,0.046045295894145966,0.15348978340625763
eyeBlinkRight,0.08615993756079116,0.08593301530869392,0.061407219618558884,0.02623257227241993,0.12065130658447742
eyeLookDownLeft,0.13084094857238232,0.09750369617007472,0.10667335614562035,0.05781645327806473,0.17834839969873428
eyeLookDownRight,0.1345525283878669,0.09425992883981262,0.11438911035656929,0.0658021904528141,0.18430572375655174
eyeLookInLeft,0.07587143476890924,0.08764030116699359,0.04071677103638649,0.019195017404854298,0.10395653173327446
eyeLookInRight,0.1562561026904732,0.14937225974932994,0.10672590136528015,0.04971270635724068,0.21578669175505638
eyeLookOutLeft,0.14620717685041018,0.14664855140740354,0.09767619520425797,0.03859418351203203,0.2129390724003315
eyeLookOutRight,0.06516399118011759,0.0844874942936496,0.0347484964877367,0.011440554866567254,0.0850768256932497
eyeLookUpLeft,0.11363220877200365,0.08797605610286784,0.08588367700576782,0.051702545024454594,0.14634494110941887
eyeLookUpRight,0.1111872214609757,0.08748932494827202,0.08386794477701187,0.04954673442989588,0.14869394898414612
eyeSquintLeft,0.44012735157832505,0.18415334410570086,0.4450226426124573,0.30622517317533493,0.5642538517713547
eyeSquintRight,0.35712044991180303,0.1864676740527882,0.3592859357595444,0.2033325955271721,0.4921991750597954
eyeWideLeft,0.015912739871884695,0.02638101629752182,0.00841228337958455,0.004607660579495132,0.0158780450001359
eyeWideRight,0.020680471979023424,0.03691066011642252,0.007755438797175884,0.003675439511425793,0.019038878846913576
jawForward,0.0004650253187496673,0.0007399967531990617,0.00010018713146564551,3.115560866717715e-05,0.0006594645674340427
jawLeft,0.009214229714198155,0.02311465617305385,0.003274112707003951,0.0013704684970434755,0.008545674849301577
jawOpen,0.17365373338837525,0.1885938305908229,0.09903554990887642,0.021990275476127863,0.27401719987392426
jawRight,0.0007553020678283247,0.002691126657117591,0.00017761315393727273,7.379822818620596e-05,0.0005699781031580642
mouthClose,0.008641397402483562,0.016482465607690178,0.0035361797781661153,0.0014070876932237297,0.008550328435376287
mouthDimpleLeft,0.01906978101693312,0.04422283720806949,0.0044424140360206366,0.0011689166422002017,0.015166096854954958
mouthDimpleRight,0.015055170864914544,0.03671078668630512,0.0032107183942571282,0.0009247306297766045,0.010620854329317808
mouthFrownLeft,0.007998982656974931,0.04197254474303709,0.00028293224750086665,5.3464322263607755e-05,0.00152235955465585
mouthFrownRight,0.009046804771988376,0.04522118109223393,0.000342548344633542,6.420861063816119e-05,0.0018466119654476643
mouthFunnel,0.02414849390546442,0.037335507272939765,0.011544709093868732,0.0038114991621114314,0.02744011813774705
mouthLeft,0.006260154640443943,0.02811443530169866,0.0016196566284634173,0.00054773292504251,0.004371731774881482
mouthLowerDownLeft,0.06839820315314864,0.13437631088216898,0.0061295973137021065,0.000562466069823131,0.06655922159552574
mouthLowerDownRight,0.08552211892183186,0.1589516115851563,0.00663283234462142,0.0005762174550909549,0.08966812305152416
mouthPressLeft,0.033714341606973904,0.07372214159137892,0.009281898848712444,0.0026567625463940203,0.030567954294383526
mouthPressRight,0.036161809014505705,0.06696657966192926,0.011760360095649958,0.0032262117019854486,0.03675698023289442
mouthPucker,0.2755364423032879,0.33842506421310187,0.082360178232193,0.0071497244061902165,0.49158237874507904
mouthRight,0.0032776378725101977,0.01184934274019475,0.0006630075804423541,0.0002270711374876555,0.0022160399821586907
mouthRollLower,0.028823099216766422,0.06331246949885617,0.009912723209708929,0.0034356953692622483,0.028596275951713324
mouthRollUpper,0.026678553898265817,0.04363072751075592,0.012198526877909899,0.004592669778503478,0.029467021115124226
