blendshape,mean,std,median,q25,q75
_neutral,1.083762187434445e-06,8.494484152255766e-07,9.17602591243849e-07,5.474787627690603e-07,1.3616053990972432e-06
browDownLeft,0.01937287854601891,0.04204745674134137,0.004608816234394908,0.0010431756381876767,0.018310163635760546
browDownRight,0.016287486115201318,0.0370298013174014,0.003799285856075585,0.000935060263145715,0.013405909994617105
browInnerUp,0.3192141750634182,0.23295545363634917,0.29219841957092285,0.11743546836078167,0.5005978345870972
browOuterUpLeft,0.28079601342394017,0.2027219846037436,0.23969122767448425,0.11243968829512596,0.41328588873147964
browOuterUpRight,0.22598158136708663,0.1760089593853442,0.1791277527809143,0.0936543308198452,0.32566288113594055
cheekPuff,1.32542365900008e-05,6.462512996596128e-05,7.444443326676264e-06,5.389214265960618e-06,1.005349645311071e-05
cheekSquintLeft,4.4643256924814525e-07,5.010129986388052e-07,3.149034739635681e-07,2.0639561171265086e-07,5.279558621396063e-07
cheekSquintRight,2.8968235686122054e-07,2.5727010044790474e-07,2.252518100931411e-07,1.496935908562591e-07,3.428956674156325e-07
eyeBlinkLeft,0.1019954529805109,0.07620492431098222,0.08586685732007027,0.0497764116153121,0.13662458956241608
eyeBlinkRight,0.07240579433506354,0.0688837360208527,0.05242757871747017,0.02431495487689972,0.10176051780581474
eyeLookDownLeft,0.12148856769315898,0.09020414520075529,0.09975147619843483,0.055529605597257614,0.15720967948436737
eyeLookDownRight,0.128097313917242,0.08947421475286259,0.10711010545492172,0.06356932781636715,0.1690775454044342
eyeLookInLeft,0.08798987432569265,0.0873834266234175,0.05663233622908592,0.028082576114684343,0.11764425039291382
eyeLookInRight,0.15791151150036603,0.12878416762978578,0.11818284168839455,0.0653278399258852,0.20694828778505325
eyeLookOutLeft,0.12340517416642979,0.12187121809129851,0.08457215130329132,0.03253961447626352,0.1734139546751976
eyeLookOutRight,0.05630748827033676,0.07429634835255312,0.02954503893852234,0.01115631707943976,0.06870817951858044
eyeLookUpLeft,0.1084376938585192,0.08130455024468398,0.08263364061713219,0.05393785424530506,0.1395309790968895
eyeLookUpRight,0.10293743835575879,0.07746015126139716,0.08220141381025314,0.047296369448304176,0.13760151714086533
eyeSquintLeft,0.36606882453337314,0.14968348351904714,0.3584965169429779,0.2578614130616188,0.46900811791419983
eyeSquintRight,0.28741575206816194,0.14363437390048084,0.27810050547122955,0.16647450625896454,0.3987800180912018
eyeWideLeft,0.012996062395977788,0.014590896108732104,0.009044466074556112,0.005396137828938663,0.015225471230223775
eyeWideRight,0.018786924721789545,0.028330340832327647,0.010992779396474361,0.005730341421440244,0.022191423922777176
jawForward,4.467813344854221e-05,0.0001769303524741414,2.368669902352849e-05,1.5667511888750596e-05,3.932760955649428e-05
jawLeft,0.0029206319621007423,0.0035268715173236618,0.0017877545324154198,0.001009708852507174,0.0034096784074790776
jawOpen,0.02177472612087149,0.02869647059770025,0.01193804806098342,0.00485745316836983,0.029696098063141108
jawRight,0.0001649225567243775,0.0002649787652225792,9.564530409988947e-05,4.9014527576218825e-05,0.00017874072000267915
mouthClose,0.008730880601899116,0.01711442901753417,0.003009480540640652,0.0010405874345451593,0.00908807828091085
mouthDimpleLeft,0.0044949444791272984,0.008075252142651753,0.0017722018528729677,0.0008556168031645939,0.004605133319273591
mouthDimpleRight,0.002958246806538227,0.007214824882125442,0.0011634648544713855,0.0005631165258819237,0.002515568514354527
mouthFrownLeft,0.0024688072793185257,0.007468370410375245,0.0003639042261056602,9.070669148059096e-05,0.001396789331920445
mouthFrownRight,0.003287460408567995,0.009839015560422135,0.0005193792458157986,0.0001259488781215623,0.0019559706561267376
mouthFunnel,0.0050343189797495145,0.007316711346038341,0.002550856559537351,0.0011131282662972808,0.0060535576194524765
mouthLeft,0.0047877778870861224,0.008086072529004649,0.0025729434564709663,0.001260473974980414,0.005386411445215344
mouthLowerDownLeft,0.0008890064635852468,0.005816397448909083,0.00034019195300061256,0.00021438551266328432,0.0005443951376946643
mouthLowerDownRight,0.0016139250489795812,0.018014085692340042,0.00032802172063384205,0.00018602281488711014,0.0005354338209144771
mouthPressLeft,0.01610341354456614,0.031394387213675726,0.005335769848898053,0.0026098780799657106,0.012963547138497233
mouthPressRight,0.015236895588051993,0.02556465589267167,0.005813817260786891,0.0028990739956498146,0.013044048799201846
mouthPucker,0.4856191520883003,0.3342530802240192,0.5164738297462463,0.1489408016204834,0.8045531511306763
mouthRight,0.0029817409059232887,0.008253478619299738,0.0014325688243843615,0.0005319199408404529,0.003004837140906602
mouthRollLower,0.05647183319926262,0.07483547271438891,0.026886731386184692,0.011079641291871667,0.06933851912617683
mouthRollUpper,0.02879696229475667,0.048648579269641,0.009870071895420551,0.0037645570118911564,0.02948711020871997
mouthShrugLower,0.05479734051850391,0.08100647365299311,0.027102156542241573,0.010347396833822131,0.06275740452110767
mouthShrugUpper,0.01885736838588491,0.028991002658910407,0.009063523728400469,0.003840275981929153,0.02106935065239668
mouthSmileLeft,0.007551443591037611,0.07726052695421191,9.246981790056452e-06,2.1171485968807247e-06,6.893748832226265e-05
mouthSmileRight,0.007740043872779871,0.07851309130519729,6.765279749743058e-06,1.4112484052475338e-06,5.780128594778944e-05
mouthStretchLeft,0.0019681555273157302,0.017050690339387154,0.00023432499438058585,7.663252654310782e-05,0.0007150795863708481
mouthStretchRight,0.003237524694643071,0.016097207611653307,0.0007114991312846541,0.0002787244084174745,0.001878292765468359
mouthUpperUpLeft,0.0037901984484399235,0.05495745455778132,3.744670902960934e-05,1.434680302736524e-05,0.00010784572259581182
mouthUpperUpRight,0.003979759342956868,0.05686729104591776,4.040218482259661e-05,1.5044278143250267e-05,0.0001317097048740834
noseSneerLeft,2.5142508216049463e-06,2.521990521370605e-06,1.7484459249317297e-06,1.093084335934691e-06,2.925829733158025e-06
noseSneerRight,3.793633100599436e-07,4.224331677253653e-07,2.8641150606745214e-07,1.9910120485633342e-07,4.3402647520451865e-07
