frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,happiness,surprise,anger,sadness
3,3.0028372748347465e-06,0.0035394614096730947,0.0012838970869779587,0.34796491265296936,0.19494228065013885,0.3769132196903229,0.00022643222473561764,6.002332611387828e-06,8.738931569496344e-07,0.2136705219745636,0.09593473374843597,0.126963272690773,0.10409649461507797,0.003776435973122716,0.5061227083206177,0.461127370595932,0.005516709294170141,0.07058949768543243,0.09499891102313995,0.38748207688331604,0.6130372285842896,0.002263830043375492,0.00657270010560751,0.0006545247160829604,5.220908496994525e-05,0.2486986368894577,0.039789166301488876,0.0057207802310585976,0.014019547961652279,0.0006720942910760641,0.00376501283608377,0.0033324947580695152,0.01171914767473936,0.0005140688735991716,0.05788915604352951,0.1251685619354248,0.15774980187416077,0.007403245195746422,0.01233648881316185,0.0005009642336517572,0.005845848936587572,0.003068960038945079,0.0012907566269859672,0.03015740215778351,0.015280724503099918,0.003429089207202196,0.04722433164715767,0.004269270226359367,0.004573282320052385,0.0024290333967655897,3.916834430128802e-06,3.699215085362084e-06,0.009354906855151057,0.29833177477121353,0.0024116792483255267,0.11835414008237422
6,2.7860814952873625e-06,0.002382529666647315,0.0012566311052069068,0.35808131098747253,0.24898071587085724,0.37457260489463806,0.00015336192154791206,3.1407516871695407e-06,1.1517072380229365e-06,0.06257228553295135,0.01094783004373312,0.04716518148779869,0.04081849753856659,0.004767356440424919,0.4368036985397339,0.40859925746917725,0.005139444954693317,0.1575191169977188,0.19207532703876495,0.34312939643859863,0.22443705797195435,0.008365089073777199,0.039958249777555466,0.0003256633353885263,0.0001083522874978371,0.23609425127506256,0.013345037586987019,0.005060138646513224,0.013185250572860241,0.0006620154017582536,0.00249210512265563,0.002813962521031499,0.008058453910052776,0.0010359262814745307,0.040701981633901596,0.09376160055398941,0.09658705443143845,0.007247878238558769,0.013153089210391045,0.00026829401031136513,0.013406566344201565,0.004493944812566042,0.0029318081215023994,0.028242547065019608,0.001448016264475882,0.0004641751875169575,0.006026946473866701,0.002790845464915037,0.005138348322361708,0.0025138212367892265,3.030865855180309e-06,2.2289409571385477e-06,0.0009560957259964198,0.29708778113126755,0.001819580385927111,0.12112912621038656
9,2.085763071590918e-06,0.001724741538055241,0.0008177348645403981,0.4371402859687805,0.2096337080001831,0.34076446294784546,6.882237357785925e-05,2.5566798740328522e-06,8.381265388379688e-07,0.04451154172420502,0.01320715807378292,0.0583316795527935,0.062242429703474045,0.009385636076331139,0.3213091790676117,0.32377198338508606,0.005278323777019978,0.11829879879951477,0.1475672721862793,0.33217641711235046,0.1732225865125656,0.012002638541162014,0.034797511994838715,0.00010229126928607002,0.0003199192287866026,0.28108474612236023,0.009445958770811558,0.005213996395468712,0.0045995949767529964,0.0008682580664753914,0.0012965081259608269,0.0016027275705710053,0.005826825276017189,0.00021801888942718506,0.02042250521481037,0.040903642773628235,0.05724262818694115,0.008507521823048592,0.03129507973790169,0.0026019157376140356,0.021853137761354446,0.009303606115281582,0.009489580988883972,0.03554179146885872,0.00013062884681858122,6.472816312452778e-05,0.0010658653918653727,0.0016814101254567504,0.0026035888586193323,0.001688808319158852,3.527268972902675e-06,1.3929674196333508e-06,9.76785049715545e-05,0.3591125160455704,0.0012712382012978196,0.1466798405551041
12,2.491775831003906e-06,0.005101202987134457,0.0019658110104501247,0.34124958515167236,0.11167547851800919,0.25039607286453247,8.46113616717048e-05,2.565736167525756e-06,6.815928941250604e-07,0.0663440003991127,0.025684259831905365,0.08294656872749329,0.09282392263412476,0.010033098049461842,0.2562452554702759,0.24480368196964264,0.01039638090878725,0.08823473006486893,0.09996622800827026,0.42865023016929626,0.1957421600818634,0.008727560751140118,0.018652403727173805,0.00010423122148495167,0.0004703780869022012,0.27127689123153687,0.005532892420887947,0.005144582595676184,0.0037471242249011993,0.0008026337600313127,0.0025619296357035637,0.002901077037677169,0.0037399998400360346,9.64927749009803e-05,0.020849527791142464,0.042112696915864944,0.06155761331319809,0.008144672028720379,0.02171614207327366,0.004907424096018076,0.026855193078517914,0.008639775216579437,0.014266066253185272,0.04211752116680145,0.00013094849418848753,6.181313074193895e-05,0.001374580548144877,0.001504499465227127,0.0030865403823554516,0.0021567498333752155,3.3246574275835883e-06,2.1650228063663235e-06,9.638081246521324e-05,0.3062632381916046,0.0035335069987922907,0.11557086394168437
15,2.4358512291655643e-06,0.011369173415005207,0.004920599982142448,0.24392525851726532,0.06961570680141449,0.14962050318717957,5.632449756376445e-05,2.3387849523714976e-06,6.757368282706011e-07,0.06411783397197723,0.03237520530819893,0.11640848964452744,0.12291467934846878,0.008249050937592983,0.317310631275177,0.306664377450943,0.006253403145819902,0.06134628504514694,0.07372251898050308,0.32836639881134033,0.25877097249031067,0.00803289096802473,0.0165839996188879,8.137206896208227e-05,0.0004196378868073225,0.2679367661476135,0.006291327066719532,0.006226170342415571,0.0026894493494182825,0.0009141092887148261,0.002669032895937562,0.003362557850778103,0.0026504730340093374,7.95755913713947e-05,0.01517056580632925,0.028466494753956795,0.047396328300237656,0.01073372084647417,0.02223222702741623,0.0057834540493786335,0.03870443254709244,0.012822874821722507,0.017885340377688408,0.033066339790821075,6.923040928086266e-05,4.067971894983202e-05,0.0008339352789334953,0.0018664028029888868,0.0017742002382874489,0.0013020687038078904,2.5702081529743737e-06,2.034283852481167e-06,5.495506411534734e-05,0.2559310123324394,0.008144886698573828,0.08331894975466032
18,2.3343977773038205e-06,0.005220888182520866,0.002442277269437909,0.3327101767063141,0.1370544582605362,0.22436484694480896,5.563808008446358e-05,2.506368218746502e-06,5.436118044599425e-07,0.056412287056446075,0.035560280084609985,0.06284641474485397,0.06829369813203812,0.010285655967891216,0.2659161388874054,0.25326675176620483,0.00863168016076088,0.10618980973958969,0.1351173371076584,0.3600695729255676,0.2820361852645874,0.008389496244490147,0.01347813569009304,6.959672464290634e-05,0.000992435496300459,0.23978425562381744,0.002365115797147155,0.00582943856716156,0.001602776232175529,0.000849783478770405,0.0031431857496500015,0.0033550027292221785,0.003801529761403799,0.00016894779400900006,0.013081387616693974,0.01973484456539154,0.03526420518755913,0.011004620231688023,0.027847880497574806,0.0028274364303797483,0.037442177534103394,0.010808461345732212,0.017759207636117935,0.04241614788770676,6.493738328572363e-05,3.5666049370775e-05,0.0011595671530812979,0.0013961456716060638,0.0016905224183574319,0.0013562629465013742,2.5019194254127797e-06,1.8812005464496906e-06,5.030171632824931e-05,0.28624721616506577,0.0038315827259793878,0.11306945506172876
21,2.605633881103131e-06,0.005806095898151398,0.002337903482839465,0.3875254988670349,0.08803955465555191,0.18496786057949066,7.499504863517359e-05,2.0294082787586376e-06,6.311807965175831e-07,0.05982152372598648,0.029166044667363167,0.0846455916762352,0.09096380323171616,0.010669133625924587,0.2530267834663391,0.24601773917675018,0.009062426164746284,0.08780695497989655,0.10038822889328003,0.38088950514793396,0.23207232356071472,0.008888812735676765,0.01556430384516716,0.0001101414454751648,0.0006725339335389435,0.2441837340593338,0.00244513968937099,0.007002797443419695,0.0028031347319483757,0.002021537395194173,0.0014814798487350345,0.0019369673682376742,0.0028420824091881514,0.00010135798220289871,0.019100191071629524,0.025934334844350815,0.05984623730182648,0.03131328895688057,0.006070681847631931,0.004498838447034359,0.027631713077425957,0.015594551339745522,0.010867037810385227,0.02919917367398739,0.00025126824039034545,0.00022052897838875651,0.0008920922409743071,0.003528362140059471,0.002860494889318943,0.0021769965533167124,2.168450919270981e-06,2.199534492319799e-06,0.00023589860938955098,0.31585461646318436,0.004071999690495431,0.13031464869466922
24,2.530679921619594e-06,0.0037243561819195747,0.0016455819131806493,0.363573282957077,0.11681583523750305,0.2296639382839203,0.00012153063289588317,1.959675728357979e-06,7.457958304257772e-07,0.09728515893220901,0.050876058638095856,0.11397802084684372,0.11827049404382706,0.017072046175599098,0.20073507726192474,0.2080436497926712,0.010037020780146122,0.06729216873645782,0.0764055922627449,0.3978991210460663,0.3270692825317383,0.0063188145868480206,0.009889179840683937,0.00022905092919245362,0.0005103230942040682,0.19629424810409546,0.0017062900587916374,0.0047461530193686485,0.009599382989108562,0.0018757454818114638,0.001365648815408349,0.00215042638592422,0.0024187106173485518,0.00011297132732579485,0.04657573625445366,0.08198641985654831,0.10488991439342499,0.03484112396836281,0.0029272176325321198,0.0027701554354280233,0.026482267305254936,0.013505471870303154,0.0065103089436888695,0.026230579242110252,0.00087121402611956,0.0006921702297404408,0.0011184754548594356,0.00693256501108408,0.010384065099060535,0.006513588130474091,2.9603338589367922e-06,2.609134980957606e-06,0.0007816921279300004,0.27993376553058624,0.002684969047550112,0.12236311938613653
27,2.5381364139320794e-06,0.006690255366265774,0.001946103060618043,0.3571217358112335,0.09071878343820572,0.21731963753700256,0.00039210490649566054,2.0461720851017162e-06,1.0473672773514409e-06,0.07390943914651871,0.032947055995464325,0.13840578496456146,0.15065637230873108,0.03360908478498459,0.10932989418506622,0.09421548247337341,0.029811866581439972,0.059907466173172,0.060716718435287476,0.3941779136657715,0.2149745672941208,0.01006394438445568,0.014096889644861221,0.0008900693501345813,0.0018904301105067134,0.2372148334980011,0.00032436908804811537,0.003017541952431202,0.011159571819007397,0.0035106695722788572,0.003346769604831934,0.00441034696996212,0.003459841012954712,0.0003948124940507114,0.1482674479484558,0.19611592590808868,0.0649300143122673,0.048208270221948624,0.0012817797251045704,0.00029715170967392623,0.005857061129063368,0.005390004720538855,0.0018384570721536875,0.022369781509041786,0.02857266180217266,0.029199060052633286,0.014684213325381279,0.05156588926911354,0.107803575694561,0.09978754818439484,3.829310116998386e-06,4.952583367412444e-06,0.028885860927402973,0.2971682846546173,0.004318179213441908,0.12162628412867586
30,3.3201899896084797e-06,0.0027270191349089146,0.0006466259364970028,0.4829518795013428,0.16923192143440247,0.3046840727329254,0.0005184400943107903,3.6018805076309945e-06,1.5373271935459343e-06,0.07329322397708893,0.02782982960343361,0.20138700306415558,0.20455381274223328,0.03131569176912308,0.1327384114265442,0.11192188411951065,0.022068021818995476,0.03921058028936386,0.040201425552368164,0.3618255853652954,0.18850436806678772,0.011071089655160904,0.017924152314662933,0.0011002984829246998,0.0010179023956879973,0.20708613097667694,0.0007653773063793778,0.0023687875363975763,0.010457487776875496,0.004402519669383764,0.006678623612970114,0.008601617999374866,0.00381136080250144,0.0003221639490220696,0.2172040194272995,0.2787643074989319,0.07019923627376556,0.06269533187150955,0.0015758107183501124,0.0004318049759604037,0.008456951007246971,0.006024801637977362,0.0038054196629673243,0.03325722739100456,0.0405435748398304,0.04343395307660103,0.020900988951325417,0.06559441983699799,0.24423463642597198,0.25607937574386597,4.99066572956508e-06,5.088864327262854e-06,0.041988763958215714,0.34501900523900986,0.0016868225357029587,0.16607737370456258
