frame,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,joy_raw,sadness_raw,anger_raw,surprise_raw,joy,sadness,anger,surprise
3,2.090814206212599e-07,0.0025659329257905483,0.004110603127628565,0.2747936248779297,0.28284287452697754,0.09791049361228943,5.422074536909349e-06,1.2275509675419016e-07,7.986318451003172e-08,0.22284851968288422,0.09768430143594742,0.15038271248340607,0.16842006146907806,0.136163592338562,0.04673245921730995,0.03740156069397926,0.14745205640792847,0.08672063052654266,0.06786858290433884,0.5203381776809692,0.43102478981018066,0.00901657622307539,0.005677518900483847,1.8659664419828914e-05,0.04015955701470375,0.024689434096217155,9.996643348131329e-05,0.007814232259988785,0.0035252170637249947,0.0012297233333811164,1.0371896678407211e-05,1.2577093002619222e-05,0.012684916146099567,0.055861618369817734,0.00047172533231787384,0.0002477756352163851,0.0007226243033073843,0.0032736347056925297,0.9727274179458618,0.00010694404045352712,0.09877950698137283,0.10131002217531204,0.022775456309318542,0.0020662792958319187,1.533106228635006e-07,9.551536095386837e-08,1.2308042641961947e-05,1.2559786227939185e-05,2.3316122224059654e-06,2.4174507871066453e-06,4.3711617081498844e-07,5.118316792618316e-08,1.244129919086845e-07,0.0916055246225369,0.23950987588614225,0.14974152948707342,4.976517199773803e-05,39.07040963375378,32.38765075302633,34.38730733629804
6,4.2460143845346465e-07,0.01174976583570242,0.010975983925163746,0.11137089133262634,0.14803272485733032,0.09244249016046524,7.383660431514727e-06,1.4758015254301426e-07,1.1567967561632031e-07,0.14680789411067963,0.11138555407524109,0.14008240401744843,0.18245208263397217,0.133379265666008,0.040324144065380096,0.03881329298019409,0.1530372053384781,0.08820834010839462,0.06020214036107063,0.6014686226844788,0.4643537104129791,0.011571383103728294,0.005180585663765669,1.7794973246054724e-05,0.06551927328109741,0.032692208886146545,6.005372051731683e-05,0.012204603292047977,0.0037533575668931007,0.0006561698392033577,1.797438017092645e-05,2.1151923647266813e-05,0.017548251897096634,0.1246584951877594,0.00028773111989721656,0.0002247170195914805,0.0008143953746184707,0.0013697094982489944,0.9847667813301086,5.446862996905111e-05,0.13071446120738983,0.11512653529644012,0.02433173917233944,0.0022946661338210106,1.7562354059919016e-07,7.117934330835851e-08,2.0678646251326427e-05,1.2264243196113966e-05,2.153339210053673e-06,1.9421420347498497e-06,4.5331199771680986e-07,8.60747846331833e-08,1.2340144195377434e-07,0.03713667254548151,0.272137020714581,0.07203155010938644,4.936055241685636e-05,20.632193646437948,35.24465391683064,20.134839569422624
9,4.4853655367660394e-07,0.020554039627313614,0.020207064226269722,0.04865683242678642,0.1248166635632515,0.0725323036313057,7.1533522714162245e-06,1.0302589004140827e-07,7.422049463912117e-08,0.16773469746112823,0.17140398919582367,0.16280899941921234,0.21054211258888245,0.12773732841014862,0.03741807863116264,0.03647742420434952,0.1484094113111496,0.07172289490699768,0.04331575706601143,0.6050535440444946,0.43103328347206116,0.007593462243676186,0.002272851997986436,1.5301997336791828e-05,0.027673296630382538,0.026005461812019348,6.016486440785229e-05,0.008701902814209461,0.0016652822960168123,0.0009484152542427182,4.761104719364084e-05,5.0322360038990155e-05,0.008574148640036583,0.15304327011108398,0.00025458616437390447,0.00016580244118813425,0.0008289771503768861,0.002512532752007246,0.9517833590507507,2.7674952434608713e-05,0.10670847445726395,0.0739482119679451,0.031800683587789536,0.0032345473300665617,3.284403362613375e-07,1.8076829633173475e-07,3.1453433621209115e-05,2.5104514861595817e-05,3.5804653180093737e-06,4.7656621973146684e-06,4.1507468040435924e-07,9.110437559911588e-08,2.546043162965361e-07,0.016251588611339685,0.2692119828425348,0.037331147119402885,0.00010184162280134747,10.214140016922277,34.99841251142406,11.556005231815748
12,4.076256061580352e-07,0.007656601257622242,0.009460201486945152,0.15456537902355194,0.16685371100902557,0.14266803860664368,6.4074779402290005e-06,1.4565452488568553e-07,1.0345555523372241e-07,0.2230432778596878,0.20997677743434906,0.3471094071865082,0.35551315546035767,0.14234806597232819,0.04162207245826721,0.02818892151117325,0.1493806540966034,0.03237397223711014,0.018074747174978256,0.5080887079238892,0.42675817012786865,0.005113022867590189,0.002117144176736474,1.5061689737194683e-05,0.013778777793049812,0.023394469171762466,0.00016287394100800157,0.007965435273945332,0.004052489530295134,0.0007376759895123541,1.551223613205366e-05,2.0547977328533307e-05,0.014555674977600574,0.07464585453271866,0.00018576413276605308,0.0001540152297820896,0.0008602176676504314,0.0012021613074466586,0.9820829033851624,0.00013029533147346228,0.07190892100334167,0.058691419661045074,0.024777980521321297,0.0037515873555094004,2.797338822801976e-07,1.2641812929814478e-07,1.9431094187893905e-05,2.286553535668645e-05,5.339184099284466e-06,4.696285486716079e-06,6.562033263435296e-07,8.564293807467038e-08,2.0307600578917118e-07,0.051533813079004176,0.2379909201990813,0.0889799240976572,8.123033633193946e-05,26.510396448655694,32.24848892922431,23.747344305724866
15,4.59632872207294e-07,0.004227241966873407,0.0058204703964293,0.1567378044128418,0.2649502456188202,0.14649346470832825,4.895692654827144e-06,1.7067873159248848e-07,9.529753697279375e-08,0.18315327167510986,0.16327063739299774,0.3063805103302002,0.31728896498680115,0.09387969225645065,0.06013357266783714,0.04930852726101875,0.09092137962579727,0.035815466195344925,0.023537535220384598,0.532832145690918,0.4839257299900055,0.005768212955445051,0.0029098503291606903,1.0259784176014364e-05,0.011931431479752064,0.02337459661066532,0.0001373619888909161,0.00875119399279356,0.0022903396748006344,0.000983959180302918,3.1017796572996303e-05,4.461529533728026e-05,0.006942381151020527,0.06928551197052002,0.00014592755178455263,8.307511598104611e-05,0.0008325172821059823,0.0028882846236228943,0.9528170824050903,0.00011153049126733094,0.08654870837926865,0.05265543982386589,0.05486898124217987,0.005810853559523821,3.2565512242399564e-07,2.109764523083868e-07,1.9777706256718375e-05,4.848669414059259e-05,5.0522826313681435e-06,7.282872047653655e-06,5.631242743220355e-07,9.623109065159952e-08,2.683157873661912e-07,0.052271145834917355,0.25670139701105654,0.09005620051175356,0.00010732619975722131,26.788092175301426,33.923737689003595,23.96574606383045
18,5.145150794305664e-07,0.006346744950860739,0.008572292514145374,0.17321479320526123,0.18414141237735748,0.10275963693857193,4.495288521866314e-06,1.7247963057798188e-07,1.0328915323043475e-07,0.19312432408332825,0.18146172165870667,0.2737259566783905,0.2830655872821808,0.0780118927359581,0.08604365587234497,0.0706440880894661,0.049749210476875305,0.038498956710100174,0.024957779794931412,0.4765974283218384,0.4242929518222809,0.004766691476106644,0.0023031244054436684,9.900844816002063e-06,0.01012282632291317,0.02626074105501175,0.00013142809621058404,0.010548578575253487,0.0023327076341956854,0.0008913691272027791,3.292908877483569e-05,5.150942160980776e-05,0.00682410690933466,0.049756795167922974,0.0001386540970997885,8.776180038694292e-05,0.0010341460583731532,0.0027719158679246902,0.9415136575698853,0.00015131164400372654,0.08667018264532089,0.05090051516890526,0.05542970821261406,0.0067827291786670685,3.856161470139341e-07,2.514951518151065e-07,2.0397761545609683e-05,6.782481796108186e-05,6.866807325422997e-06,8.873537808540277e-06,6.102510496930336e-07,9.301845693698851e-08,3.185556494145203e-07,0.057766410571881956,0.22895235440228134,0.09973776713013649,0.00012742209740169215,28.793434063223366,31.408411402966834,25.875531442659895
21,7.603210860906984e-07,0.005812399089336395,0.011165041476488113,0.15814931690692902,0.3077261745929718,0.14222534000873566,6.67386302666273e-06,1.9288782482362876e-07,1.506964366626562e-07,0.7702027559280396,0.697003960609436,0.7500389814376831,0.7359176874160767,0.05945130065083504,0.11497007310390472,0.10300231724977493,0.043493468314409256,0.004666823428124189,0.0030912745278328657,0.710827112197876,0.6897157430648804,0.00048440610407851636,0.00011426797573221847,1.1937790077354293e-05,0.007593484129756689,0.02140447124838829,0.000205353950150311,0.008867586962878704,0.00809535663574934,0.0030464818701148033,1.1151229045935906e-05,1.8795519281411543e-05,0.007936403155326843,0.01587590016424656,0.0001423949288437143,0.00015554837591480464,0.0024792335461825132,0.0035560857504606247,0.946892499923706,0.0012496839044615626,0.07706230133771896,0.04459365829825401,0.054531313478946686,0.007236332632601261,8.983033694676124e-07,6.294915806392964e-07,1.2745992535201367e-05,9.047689673025161e-05,9.837905963649973e-06,1.3011197552259546e-05,1.2108641840313794e-06,1.277093986118416e-07,7.638974750534544e-07,0.052726421218418786,0.3543800739571452,0.08977689407765865,0.0003055580563612708,26.95851334320122,41.47803591858119,23.90918852671934
24,4.917798719361599e-07,0.0014212534297257662,0.0019205368589609861,0.43166065216064453,0.2853691577911377,0.13569022715091705,7.437342446792172e-06,1.2186765729893523e-07,1.9807650630809803e-07,0.3013741672039032,0.18998311460018158,0.3865038752555847,0.35122743248939514,0.05714571848511696,0.14356398582458496,0.12809287011623383,0.020240645855665207,0.024239500984549522,0.020340416580438614,0.44661518931388855,0.46768027544021606,0.0021472342777997255,0.002122728619724512,2.7432477509137243e-05,0.002119998214766383,0.01664726436138153,0.00010058654879685491,0.00761264655739069,0.028240961953997612,0.006657468620687723,9.866158507065848e-06,1.9379276636755094e-05,0.0014284946955740452,0.0016978465719148517,0.00015417038230225444,0.00021397914679255337,0.04064853861927986,0.0203008484095335,0.11480667442083359,0.0033556728158146143,0.030126024037599564,0.03353145718574524,0.015574176795780659,0.001972691621631384,5.1333714509382844e-05,4.189563696854748e-05,5.6619832321302965e-05,0.0005740716587752104,9.65446452028118e-06,7.6052647273172624e-06,7.115401672308508e-07,1.322012082027868e-07,4.661467573896516e-05,0.14389663253192944,0.22940931376069784,0.22415395826101303,0.018642394258932552,50.18125126223293,31.45138256843834,43.96311417893923
27,1.1186197070855997e-06,0.001886997139081359,0.0019149803556501865,0.4819226861000061,0.26949644088745117,0.14962726831436157,2.0436606064322405e-05,2.2135080257612572e-07,1.363853812108573e-07,0.10384295880794525,0.0754171684384346,0.23564618825912476,0.2320689707994461,0.058812256902456284,0.12328912317752838,0.10960182547569275,0.028688324615359306,0.04517935588955879,0.0338268056511879,0.48136723041534424,0.4508713185787201,0.007224413566291332,0.007367404643446207,8.386022091144696e-05,0.0006236815825104713,0.00314218457788229,3.9822883991291746e-05,0.0009596875170245767,0.07228808104991913,0.020464463159441948,6.3160687204799615e-06,8.348029950866476e-06,0.0013876963639631867,0.0017907797591760755,0.0001394311839248985,0.00016150035662576556,0.0916362926363945,0.03964846581220627,0.02021295391023159,0.00222982675768435,0.003568405983969569,0.008202153258025646,0.0073881614953279495,0.0031553516164422035,0.4300171136856079,0.31818878650665283,0.00047196034574881196,0.001704867579974234,9.541046165395528e-05,8.131087088258937e-05,8.407675977650797e-07,5.063074013378355e-07,0.37410295009613037,0.16064578339955915,0.23401013162219897,0.2425324353389442,59.9425062865842,52.93055502986661,31.881049258138294,45.91271950640369
30,1.5760895166749833e-06,0.0041549354791641235,0.007448588497936726,0.43391478061676025,0.18575742840766907,0.06903429329395294,6.424543244065717e-05,5.584932978308643e-07,2.6569418309918547e-07,0.21437658369541168,0.12315112352371216,0.23452545702457428,0.2263709157705307,0.033673256635665894,0.17210283875465393,0.1575712114572525,0.028460318222641945,0.0478377602994442,0.04333482310175896,0.3495619595050812,0.4164644181728363,0.003999434877187014,0.005343499593436718,0.0002721582422964275,0.0008177438867278397,0.005047777201980352,2.507609133317601e-05,0.0009263499523513019,0.03112899325788021,0.00797130074352026,3.026974263775628e-05,4.124955376028083e-05,0.0023867518175393343,0.0036840462125837803,0.0008923579007387161,0.001628386089578271,0.0651722177863121,0.036642201244831085,0.012361124157905579,0.0006219604983925819,0.0037164026871323586,0.010546687059104443,0.004183873068541288,0.005704562645405531,0.7525768876075745,0.6463601589202881,0.0015063221799209714,0.005752984434366226,0.0020452283788472414,0.00150394591037184,1.3949045296612894e-06,1.512885660304164e-06,0.6994685232639313,0.14466209997105275,0.19440747541375458,0.2194812789093703,73.66947993804051,50.31388457623833,27.996166846838616,43.44481509311592
